District,Division,Year,Crop Type,Area(acres),Production(tons)
Feni,Chittagong,2007,Boro Rice,85410,129323
Comilla,Chittagong,2007,Boro Rice,396225,610166
Rangamati,Chittagong,2007,Boro Rice,16395,23936
Noakhali,Chittagong,2007,Boro Rice,134640,222981
Khagrachhari,Chittagong,2007,Boro Rice,23155,32335
Dinajpur,North region,2007,Boro Rice,417325,670664
Rangpur,North region,2007,Boro Rice,299335,472357
Rajshahi,North region,2007,Boro Rice,193860,341679
Bogura,North region,2007,Boro Rice,469185,759711
Khulna,Khulna,2008,Boro Rice,98333,139626
Jessor,Khulna,2008,Boro Rice,375624,600007
Satkhira,Khulna,2008,Boro Rice,166257,238982
Chuadanga,Khulna,2008,Boro Rice,104716,167878
Chittagong,Chittagong,2008,Boro Rice,158431,209701
Cox's Bazar,Chittagong,2008,Boro Rice,124899,157830
Chandpur,Chittagong,2008,Boro Rice,164888,229990
Feni,Chittagong,2008,Boro Rice,78201,117168
Comilla,Chittagong,2008,Boro Rice,397944,598873
Rangamati,Chittagong,2008,Boro Rice,17017,25032
Noakhali,Chittagong,2008,Boro Rice,1331128,214076
Khagrachhari,Chittagong,2008,Boro Rice,24090,28557
Dinajpur,North region,2008,Boro Rice,435497,671440
Rangpur,North region,2008,Boro Rice,304290,483725
Rajshahi,North region,2008,Boro Rice,195615,326367
Bogura,North region,2008,Boro Rice,466761,782885
Khulna,Khulna,2009,Boro Rice,106157,158228
Jessor,Khulna,2009,Boro Rice,386873,627644
Satkhira,Khulna,2009,Boro Rice,179856,263082
Chuadanga,Khulna,2009,Boro Rice,105278,174804
Chittagong,Chittagong,2009,Boro Rice,169489,233924
Cox's Bazar,Chittagong,2009,Boro Rice,125575,160382
Chandpur,Chittagong,2009,Boro Rice,162475,270438
Feni,Chittagong,2009,Boro Rice,78097,102311
Comilla,Chittagong,2009,Boro Rice,407809,640814
Rangamati,Chittagong,2009,Boro Rice,18186,27491
Noakhali,Chittagong,2009,Boro Rice,142813,219398
Khagrachhari,Chittagong,2009,Boro Rice,27888,33551
Dinajpur,North region,2009,Boro Rice,435378,665415
Rangpur,North region,2009,Boro Rice,314804,515483
Rajshahi,North region,2009,Boro Rice,176055,272891
Bogura,North region,2009,Boro Rice,463370,747627
Khulna,Khulna,2010,Boro Rice,107614,162899
Jessor,Khulna,2010,Boro Rice,384554,647016
Satkhira,Khulna,2010,Boro Rice,180942,260274
Chuadanga,Khulna,2010,Boro Rice,102732,157103
Chittagong,Chittagong,2010,Boro Rice,171963,233916
Cox's Bazar,Chittagong,2010,Boro Rice,125430,165411
Chandpur,Chittagong,2010,Boro Rice,164887,258904
Feni,Chittagong,2010,Boro Rice,77123,109236
Comilla,Chittagong,2010,Boro Rice,401849,632742
Rangamati,Chittagong,2010,Boro Rice,20376,30774
Noakhali,Chittagong,2010,Boro Rice,144502,228637
Khagrachhari,Chittagong,2010,Boro Rice,25722,36266
Dinajpur,North region,2010,Boro Rice,435223,667421
Rangpur,North region,2010,Boro Rice,316099,480287
Rajshahi,North region,2010,Boro Rice,180307,292510
Bogura,North region,2010,Boro Rice,461051,696400
Khulna,Khulna,2011,Boro Rice,118943,171587
Jessor,Khulna,2011,Boro Rice,385042,649269
Satkhira,Khulna,2011,Boro Rice,182071,265357
Chuadanga,Khulna,2011,Boro Rice,99496,154396
Chittagong,Chittagong,2011,Boro Rice,166150,227322
Cox's Bazar,Chittagong,2011,Boro Rice,123621,168045
Chandpur,Chittagong,2011,Boro Rice,162771,254239
Feni,Chittagong,2011,Boro Rice,85113,119962
Comilla,Chittagong,2011,Boro Rice,401980,623052
Rangamati,Chittagong,2011,Boro Rice,20016,27126
Noakhali,Chittagong,2011,Boro Rice,146257,229450
Khagrachhari,Chittagong,2011,Boro Rice,26134,35650
Dinajpur,North region,2011,Boro Rice,430005,660743
Rangpur,North region,2011,Boro Rice,326938,497748
Rajshahi,North region,2011,Boro Rice,189045,311571
Bogura,North region,2011,Boro Rice,458969,692543
Khulna,Khulna,2012,Boro Rice,1115081,172068
Jessor,Khulna,2012,Boro Rice,381693,644883
Satkhira,Khulna,2012,Boro Rice,178811,270255
Chuadanga,Khulna,2012,Boro Rice,96867,149012
Chittagong,Chittagong,2012,Boro Rice,165897,251413
Cox's Bazar,Chittagong,2012,Boro Rice,122233,169475
Chandpur,Chittagong,2012,Boro Rice,161352,233621
Feni,Chittagong,2012,Boro Rice,82007,121705
Comilla,Chittagong,2012,Boro Rice,395077,635359
Rangamati,Chittagong,2012,Boro Rice,11832,16623
Noakhali,Chittagong,2012,Boro Rice,144759,232474
Khagrachhari,Chittagong,2012,Boro Rice,25383,33326
Dinajpur,North region,2012,Boro Rice,425555,696518
Rangpur,North region,2012,Boro Rice,326753,537696
Rajshahi,North region,2012,Boro Rice,184627,302833
Bogura,North region,2012,Boro Rice,454736,730444
Khulna,Khulna,2013,Boro Rice,121589,198721
Jessor,Khulna,2013,Boro Rice,392454,654035
Satkhira,Khulna,2013,Boro Rice,186159,287339
Chuadanga,Khulna,2013,Boro Rice,101707,150362
Chittagong,Chittagong,2013,Boro Rice,156762,213771
Cox's Bazar,Chittagong,2013,Boro Rice,123297,177172
Chandpur,Chittagong,2013,Boro Rice,158722,210305
Feni,Chittagong,2013,Boro Rice,81950,121469
Comilla,Chittagong,2013,Boro Rice,397271,615555
Rangamati,Chittagong,2013,Boro Rice,18759,30629
Noakhali,Chittagong,2013,Boro Rice,152793,259655
Khagrachhari,Chittagong,2013,Boro Rice,25280,34202
Dinajpur,North region,2013,Boro Rice,431169,717878
Rangpur,North region,2013,Boro Rice,331530,572403
Rajshahi,North region,2013,Boro Rice,180726,286351
Bogura,North region,2013,Boro Rice,461593,756043
Khulna,Khulna,2014,Boro Rice,121130,190876
Jessor,Khulna,2014,Boro Rice,214866,368316
Satkhira,Khulna,2014,Boro Rice,90214,141938
Chuadanga,Khulna,2014,Boro Rice,96880,147069
Chittagong,Chittagong,2014,Boro Rice,163493,230000
Cox's Bazar,Chittagong,2014,Boro Rice,122336,168002
Chandpur,Chittagong,2014,Boro Rice,159197,221831
Feni,Chittagong,2014,Boro Rice,77898,111634
Comilla,Chittagong,2014,Boro Rice,391810,576496
Rangamati,Chittagong,2014,Boro Rice,18786,29896
Noakhali,Chittagong,2014,Boro Rice,147811,262472
Khagrachhari,Chittagong,2014,Boro Rice,25537,35101
Dinajpur,North region,2014,Boro Rice,442342,735364
Rangpur,North region,2014,Boro Rice,333970,605244
Rajshahi,North region,2014,Boro Rice,179050,298819
Bogura,North region,2014,Boro Rice,469850,688437
Khulna,Khulna,2005,Aus Rice,32223,24482
Jessor,Khulna,2005,Aus Rice,142599,116121
Kushtia,Khulna,2005,Aus Rice,98548,75932
Chittagong,Chittagong,2005,Aus Rice,86645,82878
Comilla,Chittagong,2005,Aus Rice,209025,154405
Rangamati,Chittagong,2005,Aus Rice,13668,9894
Noakhali,Chittagong,2005,Aus Rice,210436,128835
Dinajpur,North region,2005,Aus Rice,20866,17752
Rangpur,North region,2005,Aus Rice,6975,3612
Rajshahi,North region,2005,Aus Rice,214255,175489
Bogra,North region,2005,Aus Rice,19867,14846
Khulna,Khulna,2005,Aman Rice,800537,666957
Jessor,Khulna,2005,Aman Rice,762871,757824
Kushtia,Khulna,2005,Aman Rice,294426,243711
Chittagong,Chittagong,2005,Aman Rice,632647,643804
Comilla,Chittagong,2005,Aman Rice,548692,410652
Rangamati,Chittagong,2005,Aman Rice,25377,24791
Noakhali,Chittagong,2005,Aman Rice,650719,493400
Dinajpur,North region,2005,Aman Rice,1008173,823558
Rangpur,North region,2005,Aman Rice,1344335,1115308
Rajshahi,North region,2005,Aman Rice,959866,892830
Bogra,North region,2005,Aman Rice,540972,458407
Khulna,Khulna,2005,Boro Rice,270302,334953
Jessor,Khulna,2005,Boro Rice,667629,1008922
Kushtia,Khulna,2005,Boro Rice,202920,301038
Chittagong,Chittagong,2005,Boro Rice,273854,313277
Comilla,Chittagong,2005,Boro Rice,832248,1157012
Rangamati,Chittagong,2005,Boro Rice,17120,21817
Noakhali,Chittagong,2005,Boro Rice,249138,342958
Dinajpur,North region,2005,Boro Rice,557836,764233
Rangpur,North region,2005,Boro Rice,910930,1228937
Rajshahi,North region,2005,Boro Rice,886941,1274843
Bogra,North region,2005,Boro Rice,661263,901785
